,title,categories,article_lenght,views,refs_count,link_count,death,locations,end_date_clean,ongoing
4978,Battle of Berestechko,military conflict,17585,58251,29,104,"30,000 killed",Berestechko  Q819126,1651.0,False
4986,Battle of Okinawa,military conflict,86901,4186060,96,388,+200656,Okinawa  Islands  Q697589|Sakishima  Islands  Q697593,1945.0,False
5003,Battle of Bouvines,military conflict,27869,193446,17,156,Unknown,Bouvines  Q1079414,1214.0,False
5008,Battle of Actium,military conflict,28466,928726,16,130,"About 2,500 killed",Ionian  Sea  Q37495,,False
5013,Battle of Adwa,military conflict,43875,459222,62,242,"3,867 killed <br />~8,000 wounded",Adwa  Q380096,1896.0,False
5030,Bloody Sunday (1972),civilian attack,82169,2244605,129,241,+14,Derry  Q163584,1972.0,False
6827,Cuban Missile Crisis,military conflict,142915,5575835,149,418,None,Cuba  Q241|Caribbean  Sea  Q1247,1962.0,False
7712,Continuation War,military conflict,117516,1056456,61,397,"{{plainlist|
|<!-- See talk pages for including civilian casualties before amending -->
|* '''Finnish'''
* 63,200 dead or missing|Sfn|Kinnunen|Kivimäki|2011|p|=|172|Sfn|Nenye|Munter|Wirtanen|Birks|2016|p|=|320|
* 158,000 wounded|Sfn|Kinnunen|Kivimäki|2011|p|=|172|
* 2,370–3,500 [[Finnish prisoners of war in the Soviet Union|captured]]|ref| name=""pikkujattilainen-malmi""|{{cite book|last=Malmi| first=Timo|editor1-first=Jari|editor1-last=Leskinen|editor2-first=Antti|editor2-last=Juutilainen| title=Jatkosodan pikkujättiläinen|edition=1st|publisher=Werner Söderström Osakeyhtiö|year=2005| pages=1022–1032|chapter=Jatkosodan suomalaiset sotavangit|language=fi|isbn=9510286907}}|</ref>|
* ''225,000 total casualties''
* <small>Not including civilian casualties</small>}} <br /> * '''Finnish'''
* 63,200 dead or missing {{Sfn|Kinnunen|Kivimäki|2011|p|=|172}} {{Sfn|Nenye|Munter|Wirtanen|Birks|2016|p|=|320}} * 158,000 wounded {{Sfn|Kinnunen|Kivimäki|2011|p|=|172}} * 2,370–3,500 [[Finnish prisoners of war in the Soviet Union|captured]] * ''225,000 total casualties''
* <small>Not including civilian casualties</small> {{plainlist|
* '''German'''
* 23,200 dead or missing
* 60,400 wounded
* ''84,000 total casualties''|Sfn|Nenye|Munter|Wirtanen|Birks|2016|p|=|320|
* <small>Not including civilian casualties</small>}} {{Sfn|Nenye|Munter|Wirtanen|Birks|2016|p|=|320}} * <small>Not including civilian casualties</small>",Finland  Q33,1944.0,False
8063,History of the Dominican Republic,"military conflict, military conflict, military conflict",114670,345745,98,361,'''Battle deaths (1844–45)'''<br>< 20,Hispaniola  Q25277,1856.0,False
9709,English Civil War,military conflict,106883,3412257,133,459,"50,000",Kingdom  of  England  Q179876,1651.0,False
9833,Eureka Rebellion,military conflict,79849,557411,98,216,6 killed,Eureka  Q14935140|Ballarat  East  Q4851462,1854.0,False
10350,Easter Rising,military conflict,102593,2933472,193,538,66 killed<br/>16 executed<br/>unknown wounded,Dublin  Q1761|County  Meath  Q183544|County  Galway  Q169923|Cork  Q36647,1916.0,False
11427,First Punic War,military conflict,52687,560931,76,273,"700 quinqueremes<br />400,000 dead, including 50,000 Roman citizens",Mediterranean  Sea  Q4918,241.0,False
11523,Falklands War,military conflict,139210,5279593,156,504,"{{unbulleted list
  | 255 killed|refn|255 military personnel.|ref| name= ""BBC Casualties""|{{cite web | url= https://www.bbc.co.uk/news/world-latin-america-18425572 | title= Falkland Islands profile | date= 5 November 2013 | work = BBC News | accessdate= 19 June 2014}}|</ref>|group|=|nb|
  | 775 wounded
  | 115 POWs|refn|unbulleted list |2 April: 57 Royal Marines (RM), 11 Royal Navy (RN) and 23 Falkland Islands Defence Force (FIDF) members |3 April: 22 RM |21 May: 1 Royal Air Force (RAF) member |10 June: 1 Special Air Services (SAS) member. |citation needed |date|=| January 2013| |group|=|nb|
----
  | 2 [[destroyer]]s
  | 2 [[frigate]]s
  | 1 [[Landing Ship Logistics|LSL]]
  | 1 [[Landing Craft Utility|LCU]]
  | 1 [[SS Atlantic Conveyor|container ship]]
----
  | 24 helicopters
  | 10 fighters
  | 1 bomber |small |(interned in [[Brazil]])|}} {{refn|255 military personnel.|ref| name= ""BBC Casualties""|{{cite web | url= https://www.bbc.co.uk/news/world-latin-america-18425572 | title= Falkland Islands profile | date= 5 November 2013 | work = BBC News | accessdate= 19 June 2014}}|</ref>|group|=|nb}} {{refn|unbulleted list |2 April: 57 Royal Marines (RM), 11 Royal Navy (RN) and 23 Falkland Islands Defence Force (FIDF) members |3 April: 22 RM |21 May: 1 Royal Air Force (RAF) member |10 June: 1 Special Air Services (SAS) member. |citation needed |date|=| January 2013| |group|=|nb}} ---- {{unbulleted list |2 April: 57 Royal Marines (RM), 11 Royal Navy (RN) and 23 Falkland Islands Defence Force (FIDF) members |3 April: 22 RM |21 May: 1 Royal Air Force (RAF) member |10 June: 1 Special Air Services (SAS) member. |citation needed |date|=| January 2013|}} {{citation needed |date|=| January 2013}} {{small |(interned in [[Brazil]])}}",Falkland  Islands  Q9648|South  Georgia  and  the  South  Sandwich  Islands  Q35086,1982.0,False
11772,Finnish Civil War,military conflict,158464,735525,111,481,"'''Whites''' <br>3,500 killed in action<br />1,650 executed<br />46 missing<br />4 [[POW]] deaths<br>'''Swedes'''<br>55 killed in action<br>'''Germans'''<br>450–500 killed in action <br>'''Total'''<br>5,700–5,800 casualties (100–200 neutral/""White"" civilians)",Finland  Q33,1918.0,False
11775,First Battle of El Alamein,military conflict,60632,588408,116,165,"10,000 killed or wounded <br/>7,000 prisoners",El  Alamein  Q204439,1942.0,False
11776,First Italo-Ethiopian War,military conflict,36078,341108,41,139,"15,000 dead",Eritrea  Q986,1896.0,False
14889,Iran–Iraq War,military conflict,267435,3238190,221,844,"123,220–160,000 [[killed in action|KIA]] and 60,711 [[missing in action|MIA]] (Iranian claim) <br />200,000–600,000 killed (other estimates) <br />800,000 killed (Iraqi claim) <br />
320,000–500,000 [[Wounded in action|WIA]] <br />
40,000–42,875 [[Prisoner of war|POW]] <br />
11,000–16,000 [[civilian casualties|civilian dead]] <br />
Economic loss of US$627&nbsp;billion",Iran  Q794|Iraq  Q796|Persian  Gulf  Q34675,1988.0,False
15214,Irish Civil War,military conflict,79435,1153768,108,301,~8–900 Irish National Army killed<br />3 [[Garda Síochána]] killed {{citation needed|date|=|December 2012}} <br />4 CID and 2 Civic Guard (Accident/killed/DOW),Irish  Free  State  Q31747,1923.0,False
16760,Kosovo War,military conflict,197476,2368366,274,671,"[[File:UCK KLA.png|25px|alt=Logo of the Kosovo Liberation Army]] 1,500 insurgents killed (per the KLA) <br>[[File:UCK KLA.png|25px|alt=Logo of the Kosovo Liberation Army]] 2,057 insurgents killed (per the [[Humanitarian Law Center|HLC]]) ---- {{flagicon|US|1960}} 2 killed (non-combat) and 3 captured <br /> {{flagicon|US|1960}} 2 aircraft shot down and 3 damaged </small><br /> {{flagicon|US|1960}} Two [[AH-64 Apache]]s and an [[AV-8B Harrier]] crashed (non-combat) <br /> {{flagicon|NATO}} 47 UAVs shot down {{flagicon|FRA}} Possible unknown number of [[DGSE]] officers killed",Kosovo  Q1231,1999.0,False
16772,Korean War,"military conflict, East Asian",262686,12674791,271,711,"'''Total:''' 178,405 dead and 32,925 missing<br />'''Total wounded:''' 566,434 {{Collapsible list
| bullets |=| yes
| title |=| Details
| |flagcountry|First Republic of South Korea|1949|size|=|23px|:|ref| name=""ROK Web"" |<br />137,899 dead<br />450,742 wounded<br />24,495 MIA<br />8,343 POW
| |flag|United States|1912|size|=|23px|:<br />36,574 dead|ref| name=""DCAS5FEB2013""|{{cite web|url=https://www.dmdc.osd.mil/dcas/pages/report_korea_sum.xhtml |title=U.S. Military Casualties – Korean War Casualty Summary |author=<!--Staff writer(s); no by-line.--> |date=5 February 2013 |work=Defense Casualty Analysis System |publisher=United States Department of Defense |accessdate=6 February 2013 |deadurl=no |archiveurl=https://web.archive.org/web/20130222040726/https://www.dmdc.osd.mil/dcas/pages/report_korea_sum.xhtml |archivedate=22 February 2013 }}|</ref>|<br />103,284 wounded|ref| name=""DCAS5FEB2013""|<br />7,926 MIA|ref|{{cite web|url=http://www.dtic.mil/dpmo/summary_statistics/ |title=Summary Statistics |author=<!--Staff writer(s); no by-line.--> |date=24 January 2013 |work=Defense POW/Missing Personnel Office |publisher=United States Department of Defense |accessdate=6 February 2013 |deadurl=no |archiveurl=https://web.archive.org/web/20130225092952/http://www.dtic.mil/dpmo/summary_statistics/ |archivedate=25 February 2013 }}|</ref>|<br />4,714 POW|ref|{{cite web|url=https://aad.archives.gov/aad/series-description.jsp?s=488 |title=Records of American Prisoners of War During the Korean War, created, 1950–1953, documenting the period 1950–1953 |author=<!--Staff writer(s); no by-line.--> |work=Access to Archival Databases |publisher=[[National Archives and Records Administration]] |accessdate=6 February 2013 |quote=This series has records for 4,714 U.S. military officers and soldiers who were prisoners of war (POWs) during the Korean War and therefore considered casualties. |deadurl=no |archiveurl=https://web.archive.org/web/20131101231911/http://aad.archives.gov/aad/series-description.jsp?s=488 |archivedate=1 November 2013 }}|</ref>|
| |flagcountry|United Kingdom|1801|:<br />1,109 dead|ref| name=""BESeoul"" |<br />2,674 wounded|ref| name=""BESeoul""|{{cite web |url=http://ukinrok.fco.gov.uk/en/about-us/working-with-korea/defence-relations/korean-war |title=Korean war  |author=Office of the Defence Attaché |date=30 September 2010 |work=British Embassy Seoul |publisher=[[Foreign and Commonwealth Office]] |accessdate=16 February 2013}}|</ref>|<br />179 MIA|ref| name=""ROK Web"" |<br />977 POW|ref| name=""ROK Web"" |
| |flagcountry|Turkey|size|=|23px|:|ref| name=""ROK Web"" |<br />741 dead<br />2,068 wounded<br />163 MIA<br />244 POW
| |flagdeco|Canada|1921|size|=|23px| Canada:<br />516 dead|ref|{{cite web |url=http://www.veterans.gc.ca/eng/teach_resources/korwebquest/grp02/korsum |title=Korean War WebQuest |author=<!--Staff writer(s); no by-line.--> |date=11 October 2011 |work=Veterans Affairs Canada |publisher=Government of Canada |accessdate=28 May 2013 |archiveurl=https://web.archive.org/web/20130130062836/http://www.veterans.gc.ca/eng/teach_resources/korwebquest/grp02/korsum|archivedate=30 January 2013|quote=In Brampton, Ontario, there is a 60-metre long ""Memorial Wall"" of polished granite, containing individual bronze plaques which commemorate the 516 Canadian soldiers who died during the Korean War.}}<br />{{cite web |url=http://www.veterans.gc.ca/eng/history/KoreaWar/koreawar_fact |title=Canada Remembers the Korean War |author=<!--Staff writer(s); no by-line.--> |date=1 March 2013 |work=Veterans Affairs Canada |publisher=Government of Canada |accessdate=27 May 2013|archiveurl=https://web.archive.org/web/20121006110456/http://www.veterans.gc.ca/eng/history/KoreaWar/koreawar_fact|archivedate=6 October 2012 |quote=The names of 516 Canadians who died in service during the conflict are inscribed in the Korean War Book of Remembrance located in the Peace Tower in Ottawa.}}|</ref>|<br />1,042 wounded|ref|{{cite web|url=http://www.army.forces.gc.ca/land-terre/news-nouvelles/story-reportage-eng.asp?id=4854 |title=Korean War veterans talk of ""forgotten war"" |author=Aiysha Abdullah |author2=Kirk Fachnie |date=6 December 2010 |work=Canadian Army |publisher=Government of Canada |accessdate=28 May 2013 |quote=Canada lost 516 military personnel during the Korean War and 1,042 more were wounded. |deadurl=yes |archiveurl=https://web.archive.org/web/20130523072128/http://www.army.forces.gc.ca/land-terre/news-nouvelles/story-reportage-eng.asp?id=4854 |archivedate=23 May 2013 }}<br />{{cite web|url=http://www.kvacanada.com/canadians_in_the_korean_war.htm |title=Canadians in the Korean War |author=<!--Staff writer(s); no by-line.--> |work=kvacanada.com |publisher=Korean Veterans Association of Canada Inc. |accessdate=28 May 2013 |quote=Canada's casualties totalled 1,558 including 516 who died. |deadurl=no |archiveurl=https://web.archive.org/web/20130511043518/http://www.kvacanada.com/canadians_in_the_korean_war.htm |archivedate=11 May 2013 }}<br />{{cite news|title=2013 declared year of Korean war veteran |agency=The Canadian Press |url=http://news.ca.msn.com/canada/2013-declared-year-of-korean-war-veteran |newspaper=MSN News |date=8 January 2013 |accessdate=28 May 2013 |quote=The 1,558 Canadian casualties in the three-year conflict included 516 people who died. |deadurl=no |archiveurl=https://web.archive.org/web/20131102154432/http://news.ca.msn.com/canada/2013-declared-year-of-korean-war-veteran |archivedate=2 November 2013 }}|</ref>|<br />1 MIA|ref| name=""ROK Web"" |<br />33 POW|ref|{{cite web|url=http://legionmagazine.com/en/index.php/2003/07/canadians-in-korea/ |title=Canadians in Korea |author=Ted Barris |date=1 July 2003 |work=legionmagazine.com |publisher=Royal Canadian Legion |accessdate=28 May 2013 |quote=Not one of the 33 Canadian PoWs imprisoned in North Korea signed the petitions. |deadurl=yes |archiveurl=https://web.archive.org/web/20130720042136/http://legionmagazine.com/en/index.php/2003/07/canadians-in-korea/ |archivedate=20 July 2013 }}|</ref>|
| |flagdeco|Australia|size|=|23px| Australia:|ref|[http://www.awm.gov.au/encyclopedia/korea/mia/ Australian War Memorial Korea MIA] {{webarchive|url=https://web.archive.org/web/20120328164845/https://www.awm.gov.au/encyclopedia/korea/mia/ |date=28 March 2012 }} Retrieved 17 March 2012|</ref>|<br />339 dead<br />1,216 wounded<br />43 MIA<br />26 POW
| |flagcountry|French Fourth Republic|size|=|23px|:|ref| name=""ROK Web"" |<br />262 dead<br />1,008 wounded<br />7 MIA<br />12 POW
| |flagdeco|Kingdom of Greece|size|=|23px| [[Kingdom of Greece (Glücksburg)|Kingdom of Greece]]|ref| name=""ROK Web"" |<br />192 dead<br />543 wounded<br />3 POW
| |flagcountry|Colombia|size|=|23px|:|ref| name=""ROK Web"" |<br />163 dead<br />448 wounded<br />28 POW
| |flagcountry|Thailand|size|=|23px|:|ref| name=""ROK Web"" |<br />129 dead<br />1,139 wounded<br />5 MIA
| |flagdeco|Ethiopian Empire|size|=|23px| [[Ethiopian Empire]]|ref| name=""ROK Web"" |<br />121 dead<br />536 wounded
| |flagdeco|Netherlands|size|=|23px| [[Netherlands]]:|ref| name=""ROK Web"" |<br />122 dead<br />645 wounded<br />3 MIA
| |flagcountry|Belgium|size|=|23px|:|ref| name=""ROK Web"" |<br />101 dead<br />478 Wounded<br />5 MIA<br />1 POW
| |flagdeco|Philippines|1936|size|=|23px| [[Philippines]]:|ref| name=""GWHQ2002""|{{cite book|editor1-last=Sandler |editor1-first=Stanley |title=Ground Warfare: H–Q |series=Volume 2 of Ground Warfare: An International Encyclopedia |url=https://books.google.com/books?id=L_xxOM85bD8C&lpg=PA1060&pg=PA160#v=snippet&q=Philippines%20%22Korean%20War%22 |accessdate=19 March 2013 |year=2002 |publisher=ABC-CLIO |isbn=978-1576073445 |page=160 |quote=Philippines: KIA 92; WIA 299; MIA/POW 97<br />New Zealand: KIA 34; WIA 299; MIA/POW 1 |deadurl=no |archiveurl=https://web.archive.org/web/20130509015932/http://books.google.com/books?id=L_xxOM85bD8C&lpg=PA1060&pg=PA160 |archivedate=9 May 2013 }}|</ref>|<br />92 dead<br />299 wounded<br />97 MIA/POW
| |flagdeco|Union of South Africa|size|=|23px| [[Union of South Africa|South Africa]]|ref| name=""ROK Web"" |<br />34 dead<br />9 POW
| |flagcountry|New Zealand|size|=|23px|:|ref| name=""GWHQ2002"" |<br />34 dead<br />299 wounded<br />1 MIA/POW
| |flagcountry|Norway|size|=|23px|:|ref| name=""ROK Web"" |<br />3 dead
| |flagcountry|Luxembourg|size|=|23px|:|ref| name=""ROK Web"" |<br />2 dead<br />13 wounded
| |flagcountry|India|size|=|23px|:|ref| name=""The Times, 14 August 1950""|{{cite news | newspaper = [[The Times]] | date = 14 August 1950 | title = Two War Reporters Killed | location = London | issn = 0140-0460 | ref = {{sfnRef|''The Times'', 14 August 1950}}}}|</ref>|<br />1 dead}} {{flagcountry|First Republic of South Korea|1949|size|=|23px}} : <br />137,899 dead<br />450,742 wounded<br />24,495 MIA<br />8,343 POW {{flag|United States|1912|size|=|23px}} :<br />36,574 dead <br />103,284 wounded <br />7,926 MIA <br />4,714 POW {{flagcountry|United Kingdom|1801}} :<br />1,109 dead <br />2,674 wounded <br />179 MIA <br />977 POW {{flagcountry|Turkey|size|=|23px}} : <br />741 dead<br />2,068 wounded<br />163 MIA<br />244 POW {{flagdeco|Canada|1921|size|=|23px}} Canada:<br />516 dead <br />1,042 wounded <br />1 MIA <br />33 POW {{flagdeco|Australia|size|=|23px}} Australia: <br />339 dead<br />1,216 wounded<br />43 MIA<br />26 POW {{flagcountry|French Fourth Republic|size|=|23px}} : <br />262 dead<br />1,008 wounded<br />7 MIA<br />12 POW {{flagdeco|Kingdom of Greece|size|=|23px}} [[Kingdom of Greece (Glücksburg)|Kingdom of Greece]] <br />192 dead<br />543 wounded<br />3 POW {{flagcountry|Colombia|size|=|23px}} : <br />163 dead<br />448 wounded<br />28 POW {{flagcountry|Thailand|size|=|23px}} : <br />129 dead<br />1,139 wounded<br />5 MIA {{flagdeco|Ethiopian Empire|size|=|23px}} [[Ethiopian Empire]] <br />121 dead<br />536 wounded {{flagdeco|Netherlands|size|=|23px}} [[Netherlands]]: <br />122 dead<br />645 wounded<br />3 MIA {{flagcountry|Belgium|size|=|23px}} : <br />101 dead<br />478 Wounded<br />5 MIA<br />1 POW {{flagdeco|Philippines|1936|size|=|23px}} [[Philippines]]: <br />92 dead<br />299 wounded<br />97 MIA/POW {{flagdeco|Union of South Africa|size|=|23px}} [[Union of South Africa|South Africa]] <br />34 dead<br />9 POW {{flagcountry|New Zealand|size|=|23px}} : <br />34 dead<br />299 wounded<br />1 MIA/POW {{flagcountry|Norway|size|=|23px}} : <br />3 dead {{flagcountry|Luxembourg|size|=|23px}} : <br />2 dead<br />13 wounded {{flagcountry|India|size|=|23px}} : <br />1 dead",Korea  Strait  Q52052|Sea  of  Japan  Q27092|Korean  Peninsula  Q483134,1953.0,False
22467,Oklahoma City bombing,civilian attack,162443,5111802,253,392,+168,Alfred  P Murrah  Federal  Building  Q597408,,False
22618,Operation Barbarossa,military conflict,157365,4018358,2,587,"'''Total military casualties:'''<br />1,000,000+ {{Collapsible list
|title |=| Breakdown
|'''Casualties of 1941:'''
<hr/>
According to [[German Army (Wehrmacht)|German Army]] medical reports (including [[Army of Norway (Wehrmacht)|Army Norway]]):|sfn|Askey|2014|p|=|178|
* 186,452 killed
* 40,157 missing
* 655,179 wounded in action|Efn|Excludes an additional 395,799 who were deemed unfit for service due to non-combat causes, transported out of their Army Group sectors for treatment, and treated in divisional/local medical facilities. 98% of those 395,799 eventually returned to active duty service, usually after relatively short treatment, meaning about 8,000 became permanent losses. Askey 2014, p. 178.|
* 8,000 evacuated sick
<hr/>
* 2,827 aircraft destroyed|sfn|Bergström|2007|p|=|117|
* 2,735 tanks destroyed|sfn|Liedtke|2016|p|=|220|sfn|Askey|2014|p|=|185|
* 104 assault guns destroyed|sfn|Liedtke|2016|p|=|220|sfn|Askey|2014|p|=|185|
<hr/>
'''Other involved country losses'''
* |flagicon|ROU| 114,000+ casualties (at least 39,000 dead or missing)|Efn|See: Mark Axworthy, ''Third Axis Fourth Ally: Romanian Armed Forces in the European War, 1941–1945''. pages 58 and 286.|
* |flagicon|Kingdom of Italy| 8,700 casualties|Efn|See:Robert Kirchubel. ''Operation Barbarossa: The German Invasion of Soviet Russia''. Bloomsbury Publishing. Chapter: ""Opposing Armies"".|
* |flagicon|FIN| 5,000+ casualties|Efn|Includes only Finnish casualties in Northern Finland during Operation Silver Fox.|sfn|Ziemke|1959|p|=|184|}} {{sfn|Askey|2014|p|=|178}} * 186,452 killed
* 40,157 missing
* 655,179 wounded in action {{Efn|Excludes an additional 395,799 who were deemed unfit for service due to non-combat causes, transported out of their Army Group sectors for treatment, and treated in divisional/local medical facilities. 98% of those 395,799 eventually returned to active duty service, usually after relatively short treatment, meaning about 8,000 became permanent losses. Askey 2014, p. 178.}} * 8,000 evacuated sick
<hr/>
* 2,827 aircraft destroyed {{sfn|Bergström|2007|p|=|117}} * 2,735 tanks destroyed {{sfn|Liedtke|2016|p|=|220}} {{sfn|Askey|2014|p|=|185}} * 104 assault guns destroyed {{sfn|Liedtke|2016|p|=|220}} {{sfn|Askey|2014|p|=|185}} <hr/>
'''Other involved country losses'''
* {{flagicon|ROU}} 114,000+ casualties (at least 39,000 dead or missing) {{Efn|See: Mark Axworthy, ''Third Axis Fourth Ally: Romanian Armed Forces in the European War, 1941–1945''. pages 58 and 286.}} * {{flagicon|Kingdom of Italy}} 8,700 casualties {{Efn|See:Robert Kirchubel. ''Operation Barbarossa: The German Invasion of Soviet Russia''. Bloomsbury Publishing. Chapter: ""Opposing Armies"".}} * {{flagicon|FIN}} 5,000+ casualties {{Efn|Includes only Finnish casualties in Northern Finland during Operation Silver Fox.|sfn|Ziemke|1959|p|=|184}} {{sfn|Ziemke|1959|p|=|184}}",Estonia  Q191|Belarus  Q184|Ukraine  Q212|Moldova  Q217|Poland  Q36|Lithuania  Q37|Latvia  Q211|European  Russia  Q875134|Second  Polish  Republic  Q207272|Soviet  Union  Q15180,1942.0,False
