,n_conflict,id,title,categories,article_lenght,views,refs_count,link_count,death,locations,end_date_clean,ongoing
10,10,203199,Bombing of Iraq (1998),military conflict,34098,257250,32,134,"None |caus2| 1,400 [[Republican Guard (Iraq)|Republican Guard]] members killed",Iraq  Q796,1998.0,False
11,11,203230,Iraqi no-fly zones,military conflict,15274,157829,17,94,"2 [[UH-60 Blackhawk]] helicopters shot down (friendly fire, 26 killed)<br />19 USAF servicemen deployed as part of the operation were killed in the [[Khobar Towers Bombing]]<br />5 [[RQ-1 Predator]] unmanned aircraft shot down |caus2| Unknown number of air defense systems destroyed<br />1 [[MiG-25 Foxbat]] shot down<br>1 [[MiG-23 Flogger]] Shot down<br />2 [[Su-22]] Fitters shot down",Iraq  Q796,2003.0,False
12,12,207031,Battle of Baghdad (2003),military conflict,35355,268340,45,118,"1,700–2,120 killed (independent estimate) <br />2,320 killed (U.S. military estimate) |caus2| 34 killed <br>1 [[A-10 Thunderbolt II]] shot down<br>2 Abrams tanks destroyed <br>17 vehicles destroyed",Baghdad  Q1530,2003.0,False
13,13,225283,Sri Lankan Civil War,military conflict,210221,1336944,338,549,+100000,Sri  Lanka  Q854,2009.0,False
14,14,252171,Operation Provide Comfort,military conflict,21245,122819,11,117,"2 [[Sikorsky UH-60 Black Hawk|UH-60 Blackhawk]] helicopters shot down (friendly fire, 26 killed), Five U.S. service members killed and 25 wounded<br /> Three British service members wounded<br />Two Netherlands service members wounded.
Total: 31 Killed, 30 Wounded |caus2| <br/>  90 killed 85 wounded Many air defense systems destroyed<br/>1 [[Mikoyan-Gurevich MiG-23|MiG-23 Flogger]] shot down<br/>1-2 [[Sukhoi Su-17|Su-22 Fitters]] shot down",Northern  Iraq,1996.0,False
15,15,312622,1999 Seattle WTO protests,civil conflict,34016,408094,41,111,,Seattle|Washington|United  States,1999.0,False
16,16,312905,Lebanese Civil War,military conflict,100634,1521029,69,561,,Lebanon  Q822,2005.0,False
17,17,314792,Operation Defensive Shield,military conflict,51443,97567,59,169,"{{unbulleted list
  | 30 killed
  | 127 wounded|ref|[http://www.mfa.gov.il/MFA/MFAArchive/2000_2009/2002/3/Operation%20Defensive%20Shield Israel Ministry of Foreign Affairs] See ''Soldiers who fell in action in Operation Defensive Shield''|</ref>|}} |caus2| 497 killed (according to [[UN]]) <br />1,447 wounded <br />7,000 detained",West  Bank  Q36678,2002.0,False
18,18,322473,NATO bombing of Yugoslavia,military conflict,108848,1045547,163,382,"{{Flagdeco|Serbia and Montenegro}} [[Human Rights Watch]] concluded that between 489 and 528 people died as a result of air attacks, nearly 60% of whom were in Kosovo. The Yugoslav government gave estimates of between 1,200 and 5,700 civilian deaths. {{flagicon|China}} 3 Chinese citizens killed in [[United States bombing of the Chinese embassy in Belgrade|NATO bombing of the PRC's embassy in Belgrade]]",Federal  Republic  of  Yugoslavia  Q838261,1999.0,False
19,19,333302,Operation Storm,military conflict,156914,400624,232,567,"Serb civilian deaths:<br />214 (Croatian claim) &ndash; 1,192 (Serbian claim)<br />Croat civilian deaths: 42<br />Refugees:<br />150,000–200,000 Serbs from the former RSK<br />21,000 [[Bosniak]]s from the former APWB<br />22,000 Bosniaks and [[Croat]]s from the Republika Srpska<br/> Other: <br /> 4 [[United Nations|UN]] peacekeepers killed and 16 wounded",Croatia  Q224|Bosnia  and  Herzegovina  Q225,1995.0,False
20,20,369826,Nepalese Civil War,military conflict,54921,403383,54,238,"17,800 killed overall <br> 1,300 missing",Nepal  Q837,2006.0,False
21,21,375570,Operation Echo,military conflict,2713,3294,2,17,,Kosovo|Yugoslavia,1999.0,False
22,22,381949,Operation Megaphone,military conflict,6866,5562,7,26,,Off  the  coast  of  Newfoundland  and  Labrador Newfoundland|North  Atlantic,2000.0,False
23,23,401625,Operation Red Dawn,military conflict,31909,506235,17,149,+0,Ad- Dawr  Q1029552,2003.0,False
24,24,402087,Cenepa War,military conflict,50598,171189,32,140,"*60 killed {{small|(official)|ref| name=""ReferenceA""|{{cite web|url=http://news.bbc.co.uk/hi/spanish/latin_america/newsid_7274000/7274638.stm|title=Así fue la última guerra|date=3 March 2008|publisher=BBC News|accessdate=10 April 2018|language=es}}|</ref>}} <br> 50 killed {{small|(others)|ref| name=VASS|{{cite book |author=Vassilis K. Fouskas |title= Politics of Conflict: A Survey|publisher=Routledge |year= 2010|page= 36 |isbn= 1136833579|url=https://books.google.com.pe/books?id=ZomsAgAAQBAJ&pg=PA35&lpg=PA35&dq=Politics+of+Conflict:+A+Survey+cenepa+war&source=bl&ots=MYycGXSIgD&sig=F8hpNdKi1VIiKPMX46HAwMuO6v4&hl=es&sa=X&ved=0ahUKEwjyq5DyhvDSAhXFOiYKHe3yBwoQ6AEILTAC#v=onepage&q=Politics%20of%20Conflict%3A%20A%20Survey%20cenepa%20war&f=false}}|</ref>}} *400+ wounded {{small|(others)|ref| name=VASS}} ----
'''Equipment'''<br>
3 helicopters <br>(2 [[Mil Mi-8|Mi-8T]], 1 [[Mil Mi-24|Mi-25]])<br>
4 aircraft <br>(2 [[Sukhoi Su-17|Su-22]], 1 [[Cessna A-37 Dragonfly|A-37B]], 1 [[English Electric Canberra|Canberra]]) |caus2| *34 killed {{small|(official)|ref| name=""eluniverso.com""|{{cite web|url=http://www.eluniverso.com/2005/01/26/0001/12/3C51DA01C94E4F3B87FA3B3ADEEF2E94.html|title=En el Cenepa quedan huellas de la guerra - ENE. 26, 2005 - El País - Historicos - EL UNIVERSO|work=eluniverso.com}}|</ref>}} <br> 350 killed {{small|(Peru est.)|ref| name=""ReferenceA""}} *70 wounded {{small|(official)|ref| name=""eluniverso.com""}} ----
'''Equipment'''<br>2 aircraft <br>(1 A-37B, 1 [[T-33 Shooting Star|AT-33A]])",Upper  Cenepa  River  valley in  the  eastern  side  of  the  Cordillera  del  Cóndor|Province  of  Condorcanqui|Región  Amazonas|Republic  of  Peru|near  to  the  border  between  the  two  countries  see  map  shown  in  the  infobox,1995.0,False
25,25,405651,Operation Ivy Blizzard,military conflict,4827,7092,0,44,None |caus2| None,Samarra,2003.0,False
26,26,406782,Operation Bulldog Mammoth,military conflict,2887,6478,0,28,none |caus2| none,Abu  Ghraib  Q335021,2003.0,False
27,27,416984,Operation Avalanche (Afghanistan),military conflict,2290,11929,0,15,15 Afghan children killed,Southeast  Afghanistan,2003.0,False
28,28,435497,Yugoslav Wars,military conflict,103404,2462989,123,442,,Yugoslavia  Q36704,2001.0,False
29,29,447199,Operation Enduring Freedom – Philippines,military conflict,35912,172139,53,113,17 killed,Philippines  Q928,2015.0,False
30,30,472441,2004 Haitian coup d'état,military conflict,38390,143131,46,111,Unknown,Haiti  Q790,2004.0,False
31,31,495671,Operation Infinite Reach,military conflict,84037,171604,79,350,"None |caus2| 6 {{sfn|Wright|2006|p|=|285}} –50 militants killed<br /> {{flagicon image|Flag of Sudan.svg}} 1 killed, 10 injured {{sfn|Barletta|1998|p|=|116}} <br /> {{flagicon image|Flag of Pakistan.svg}} 5 [[Inter-Services Intelligence|ISI]] officers killed {{sfn|Weaver|2010|p|=|33}}",Khost  Q386682,1998.0,False
32,32,532767,Operation Uphold Democracy,military conflict,15561,376751,12,74,{{Flagdeco|United States}} 1 killed |caus2| {{Flagdeco|Haiti}} 100-200 killed,Haiti  Q790,1995.0,False
33,33,545989,Southern African Development Community intervention in Lesotho,military conflict,4317,42399,4,26,,Lesotho  Q1013,1999.0,False
34,34,577771,Bosnian War,military conflict,199578,3783756,208,806,"21,173 soldiers killed<br />4,179 civilians killed",Bosnia  and  Herzegovina  Q225,1995.0,False
35,35,591689,First Battle of Fallujah,military conflict,41863,424483,56,213,572–616 civilians killed <small>(''Iraq Body Count''),Fallujah  Q191170,2004.0,False
36,36,635918,Operation Southern Focus,military conflict,5826,14428,5,45,"1 [[MQ-1 Predator]] destroyed |caus2| Unknown, many air defense systems destroyed",Southern  Iraq,2003.0,False
37,37,636774,J26 G8 Protests,civil conflict,6280,3428,0,16,,Calgary|Alberta|Canada,2002.0,False
38,38,637627,Rose Revolution,civil conflict,36387,212531,44,121,,Georgia  country Georgia,2003.0,False
39,39,661864,S11 (protest),civil conflict,9412,7907,0,37,,Melbourne|Australia,2000.0,False
40,40,668141,Operation Rainbow,military conflict,27488,19308,31,72,"13 soldiers killed. |caus2| 53–55 Palestinians killed <br> '''Combatants:''' 41 killed (IDF claim ), 12 (Palestinians claim) <br> '''Civilians:''' 12 (IDF claim), 43 (Palestinians claim)",Gaza  Strip  Q39760,2004.0,False
41,41,736139,Third Taiwan Strait Crisis,military conflict,21250,301483,15,109,,Strait  of  Taiwan,1996.0,False
42,42,803754,Kargil War,military conflict,116694,3547574,193,481,"'''Indian official figures'''
* 527 killed * 1,363 wounded * 1 [[Prisoner of war|POW]]
* 1 fighter jet shot down
* 1 fighter jet crashed
* 1 helicopter shot down

'''Pakistani claims'''
* 1,600 (as claimed by Musharraf) |caus2| '''Independent figures'''
*700 killed '''Pakistani figures'''
* 453 killed (Pakistan army claim) * 8 [[Prisoner of War|POWs]] '''Other Pakistani claims'''
* 357 killed and 665+ wounded (according to Pervez Musharraf) * 2,700—4,000 killed (according to Nawaz Sharif) '''Indian claims'''
* 737+—1,200 killed (249 dead bodies recovered in Indian territory, of which 244 dead bodies were buried) * 1000+ wounded",Kargil  district  Q1650798,1999.0,False
43,43,806083,"Iran student protests, July 1999",civil conflict,26563,40945,24,70,"5–17 deaths<br />1,000–1,500 arrests |caus2| Several thousand injuries",flag Iran Tehran|Tabriz|Isfahan,1999.0,False
44,44,832725,Holy Cross dispute,civil conflict,39713,70939,28,119,,Ardoyne|Belfast|Northern  Ireland,2002.0,False
45,45,847626,Iraqi insurgency (2003–11),military conflict,92740,219180,107,324,,Iraq  Q796,2011.0,False
46,46,877492,Second Congo War,military conflict,57143,1034130,51,299,"2.7–5.4 million [[excess death]]s (1998–2008) 350,000+ violent deaths (1998–2001)",Democratic  Republic  of  the  Congo  Q974,2003.0,False
47,47,881245,Operation Iron Hammer (Iraq 2003),military conflict,4769,7738,3,33,None Reported,Baghdad  Q1530,2003.0,False
48,48,892918,Cincinnati riots of 2001,civil conflict,21731,87146,8,96,,Cincinnati|Ohio|U S,2001.0,False
49,49,909500,Operation Phantom Linebacker,military conflict,2305,5261,0,27,,Baghdad  Q1530,2004.0,False
50,50,933377,Iraqi insurgency (2003–06),military conflict,49632,52284,11,144,,Iraq  Q796,2006.0,False
51,51,1032342,Withdrawal of U.S. troops from Iraq,military conflict,30111,375398,46,108,,Iraq  Q796,2011.0,False
52,52,1048241,Operation Days of Penitence,military conflict,38730,14653,15,271,1 soldier |caus2| {{nowrap|[[Circa|c.]] 130 Palestinians<br/>including 50-87 militants}},Gaza  Strip  Q39760,2004.0,False
53,53,1071805,Guinea-Bissau Civil War,military conflict,17751,52597,11,80,"'''Total''': At least 655 killed in fighting, 350,000 displaced.",Guinea- Bissau  Q1007,1999.0,False
54,54,1078676,Burundian Civil War,military conflict,19489,126894,22,77,,Burundi  Q967,2005.0,False
55,55,1101083,2002 Venezuelan coup d'état attempt,military conflict,153005,164843,204,332,19 dead and 60 – 150+ injured.,Flag Venezuela,2002.0,False
56,56,1113713,United Nations Operation in Somalia II,military conflict,20277,208321,24,103,"{{flagicon|India}} 12 killed <br /> {{flagicon|Pakistan}} 24 killed<br /> {{flagicon|US}} 22 killed<br /> {{flagicon|Malaysia}} 1 killed<br /> {{flagicon|Italy}} 5 killed |caus2| 75 Known, Many Expected Unknown",Somalia  Q1045,1995.0,False
57,57,1131537,Second Sudanese Civil War,military conflict,36136,624072,30,193,"1–2 million dead (mostly civilians, due to starvation and drought)",Blue  Nile  Q882739,2005.0,False
58,58,1138374,Second Battle of Fallujah,military conflict,61748,919975,77,277,Civilian fatalities:<br>581–670 <small>(''[[Iraq Body Count project|Iraq Body Count]]'')</small> <br>800 <small>(''[[Red Cross]]'')</small>,Fallujah  Q191170,2004.0,False
59,59,1145971,Operation Planet X,military conflict,2859,11212,1,32,,a  village  near  Ad  Dawr and  Al  Dur|convert 11 mi km south  of  Tikrit|Iraq,2003.0,False
60,60,1147895,Operation Peninsula Strike,military conflict,3849,8935,2,33,None Reported,Balad  Q1029645,2003.0,False
61,61,1160495,Operation Panther Squeeze,military conflict,2289,5661,1,8,None |caus2| None,Lutafiyah,2003.0,False
62,62,1163969,Operation Bayonet Lightning,military conflict,3567,11240,0,37,Unknown,Al  Hawijah|Iraq,2003.0,False
63,63,1164010,Operation Northern Delay,military conflict,5756,31779,4,25,,Bashur  Airfield|Ba athist  Iraq Iraq,2003.0,False
64,64,1165690,Operation Desert Scorpion (Iraq 2003),military conflict,7140,12975,2,52,None reported on either side,North- Central  Iraq,2003.0,False
65,65,1173504,First Ivorian Civil War,military conflict,38936,177485,41,142,15 French soldiers<br>1 UN peacekeeper,Ivory  Coast  Q1008,2007.0,False
66,66,1209133,Orange Revolution,civil conflict,55836,447590,66,313,,Ukraine|primarily  Kiev,2005.0,False
67,67,1220825,Philippine Revolution,military conflict,95067,740082,80,471,Heavy; official casualties are unknown. |caus2| Heavy; official casualties are unknown.,Philippines  Q928,1999.0,False
68,68,1220919,Operation Plymouth Rock,military conflict,3535,7089,0,31,None |caus2| None,Baghdad,2004.0,False
69,69,1273364,First Congo War,military conflict,41325,416753,59,155,"250,000 –800,000 dead<br>222,000 refugees missing",Zaire  Q6500954,1997.0,False
70,70,1322490,Ukraine without Kuchma,civil conflict,15609,18937,22,131,Policemen wounded: 12 |caus2| Activists arrested: 203,city  of  Kiev br Shevchenko  Memorial  Park,2001.0,False
71,71,1371397,Turbot War,military conflict,20937,123972,9,101,1 fishing vessel captured |caus2| 1 fishing vessel captured,Grand  Banks  of  Newfoundland  Q913793,1996.0,False
72,72,1372487,May 1998 riots of Indonesia,civil conflict,59790,329909,39,194,,Major  riots  occurred  in  Medan|Jakarta|and  Surakarta with  a  number  of  isolated  incidents  elsewhere,1998.0,False
73,73,1389913,Operation Barras,military conflict,47951,317215,59,145,"1 killed, 12 wounded |caus2| At least 25 killed; 18 captured",Occra  Hills|Sierra  Leone br coord 8 556 12 797 type city format dms,2000.0,False
74,74,1494771,Second EDSA Revolution,civil conflict,26138,101073,28,158,,Philippines,2001.0,False
75,75,1526860,Algerian Civil War,military conflict,83507,338358,108,273,,Algeria  Q262,2002.0,False
76,76,1554342,Tulip Revolution,civil conflict,20931,103494,11,138,,Kyrgyzstan,2005.0,False
77,77,1556708,Cedar Revolution,civil conflict,45368,161448,46,212,0,Lebanon especially  in  the  capital  Beirut,2005.0,False
78,78,1561462,First Liberian Civil War,military conflict,25075,465866,17,155,,Liberia  Q1014,1997.0,False
79,79,1585788,Ituri conflict,military conflict,45008,188980,68,141,"Estimate: {{circa}} 60,000 killed (1998–2006)",Ituri  Province  Q24909562,2003.0,False
80,80,1587407,Tuareg rebellion (1990–1995),military conflict,21507,16727,21,133,,Northern  Mali and  Niger,1995.0,False
81,81,1606497,Casamance conflict,military conflict,23755,92014,33,86,+5000,Senegal  Q1041,2014.0,False
82,82,1619134,2005 Quebec student protests,civil conflict,6772,7943,1,56,,Quebec|Canada,2005.0,False
83,83,1648543,Operation Chavín de Huántar,military conflict,6641,31943,7,38,1 Peruvian hostage killed,Japanese  embassy  in  Lima,1997.0,False
84,84,1768896,2004 Adjara crisis,military conflict,10110,23628,1,76,,Adjara  Q45693,2004.0,False
85,85,1781189,Eritrean–Ethiopian War,military conflict,67289,470240,117,155,"19,000 killed <br><small>(Eritrean claim)</small><br>67,000 killed <br><small>(Ethiopian claim)</small><br>20,000–50,000 or 150,000 killed<br><small>(other estimates)</small> |caus2| 34,000 –60,000 killed <small>(Ethiopian claim)</small><br>123,000 killed <br><small>(Ethiopian clandestine opposition claim)</small><br>150,000 killed <br><small>(other estimates)</small>",Eritrea  Q986|Ethiopia  Q115,2000.0,False
86,86,1797421,Operation Deliberate Force,military conflict,26396,316852,32,143,27 Bosnian Serb civilians killed,Bosnia  and  Herzegovina  Q225,1995.0,False
87,87,1856611,Tajikistani Civil War,military conflict,21460,164537,23,143,"20,000–60,000 killed <br>40+ journalists killed <br>1.2&nbsp;million displaced",Tajikistan  Q863,1997.0,False
88,88,1865861,Seattle Mardi Gras riot,civil conflict,17586,26145,26,37,'''Arrests:''' 100+<br> '''Injuries:''' ≈70<br> '''Deaths:''' 1,Pioneer  Square|Seattle|Washington  state Washington,2001.0,False
89,89,1928714,Operation Squeeze Play,military conflict,1716,7747,1,14,,Western  Iraq,2005.0,False
90,90,1939307,Operation New Market,military conflict,5155,9639,8,21,2 killed 9 wounded |caus2| 11 killed 31 detained,Near  Haditha in  western  Iraq,2005.0,False
91,91,2018850,Pakistan Naval Air Arm Atlantique shootdown,military conflict,26204,6679,31,156,None |caus2| 5 [[naval officer|officers]] killed<br>11 sailors killed,Rann  of  Kutch  Q4026866,1999.0,False
92,92,2034675,Battle of Tololing,military conflict,2801,68553,2,28,,Kargil  district  Q1650798,1999.0,False
93,93,2057171,Angolan Civil War,military conflict,131408,861075,207,527,"Over 500,000 civilians dead",Angola  Q916,2002.0,False
94,94,2066210,Battle of Hulao,military conflict,21575,20230,0,73,,Hulao  Pass  Q841965,2000.0,False
95,95,2069739,Operation Spear,military conflict,3966,9348,4,25,,Al- Karābilah  Q4702666,2005.0,False
96,96,2192998,Second Liberian Civil War,military conflict,18581,350666,17,115,"150,000–300,000 people killed",Liberia  Q1014,2003.0,False
97,97,2204758,Tarnak Farm incident,military conflict,23957,125818,20,176,4 killed<br>8 injured<br>1 anti-tank weapon<br>1 artillery piece |caus2| None,Kandahar  Q45604,2002.0,False
98,98,2219252,Operation Artemis,military conflict,8829,26311,9,75,,Ituri  Province  Q24909562,2003.0,False
99,99,2243939,Hainan Island incident,military conflict,27016,452640,43,113,+1,South  China  Sea  Q37660,2001.0,False
100,100,2326869,South Thailand insurgency,military conflict,73013,427753,97,208,"6,703+ killed (2004–2017) <br />11,919 injured (2004–2015)",Southern  Thailand  Q1069853,2004.0,False
101,101,2372429,Sectarian violence in Iraq (2006–08),military conflict,47534,17121,59,218,,Central  Iraq and  Baghdad,2008.0,False
102,102,2398932,Operation Flash,military conflict,68563,65291,123,295,"11,500&ndash;15,000 [[Croatian Serb]] refugees <br>3 UN peacekeepers wounded",Croatia  Q224,1995.0,False
103,103,2427487,Operation Red Wings,military conflict,57259,2344565,60,212,"19 killed<br />1 wounded<br />1 Chinook helicopter shot down |caus2| Unknown, with the highest estimate 35 killed",Korangal  Valley  Q6431405,2005.0,False
104,104,2451103,Punjab insurgency,military conflict,49353,248058,101,170,"Over 50,000 civilian deaths",Punjab  Q22424,1995.0,False
105,105,2477816,Sierra Leone Civil War,military conflict,73490,968666,131,267,"Between 50,000–300,000 killed <br>2.5 million displaced internally and externally",Sierra  Leone  Q1044,2002.0,False
106,106,2611148,Siege of Busanjin,military conflict,9265,6730,0,33,"? |caus2| 1,200-8,500 killed {{sfn|Hawley|2005|p|=|145}} {{sfn|Swope|2009|p|=|89}} <br>200 captured {{sfn|Hawley|2005|p|=|145}}",Busanjin  District  Q50390,2008.0,False
107,107,2677003,World Trade Organization Ministerial Conference of 2005,civil conflict,49622,49355,36,163,,Hong  Kong  Convention  and  Exhibition  Centre  Q597725,2005.0,False
108,108,2787282,"January 20, 2005 counter-inaugural protest",civil conflict,15584,18608,17,87,,Washington|D C,2005.0,False
109,109,2923131,History of the Ecuadorian–Peruvian territorial dispute,military conflict,91854,58768,29,303,,Ecuador  Q736,1998.0,False
110,110,2929376,2005 raid on Nalchik,military conflict,24278,2692,20,138,'''Civilians''':<br>At least 14 killed and 115 wounded,Nalchik  Q5265,2005.0,False
111,111,2953547,Battle of Marabda,military conflict,7400,5865,3,48,"9,000 to 10,000 |caus2| 14,000",Marabda  Q6754537,2018.0,False
112,112,2975771,1996 cruise missile strikes on Iraq,military conflict,6643,21670,4,63,,Iraq,1996.0,False
113,113,2980761,2001 Bradford riots,civil conflict,12295,89562,17,60,,Bradford|England,2001.0,False
114,114,2987837,EDSA III,civil conflict,9533,61242,6,81,,Manila|Philippines,2001.0,False
115,115,3008883,Second Sahrawi Intifada,civil conflict,11767,2643,4,69,[[Hamdi Lembarki|1 civilian killed]]<br/>dozens wounded {{Citation needed|date|=|May 2014}},Western  Sahara|south  of  Morocco,2005.0,False
116,116,3011366,2005 Toledo riot,civil conflict,10951,37709,10,50,,Toledo|Ohio,2005.0,False
117,117,3052270,2005 French riots,civil conflict,48750,256828,62,170,"2,888 arrested<br />Unknown injured |caus2| 126 police officers and firemen injured <br> 2 civilians killed by rioters <br> 1 civilian killed by smoke inhalation",Various  cities  and  towns  in  France,2005.0,False
118,118,3154222,Operation Accius,military conflict,4871,3983,0,18,,Afghanistan,2001.0,False
119,119,3205565,Battle of Abu Ghraib,military conflict,15775,43698,11,107,44+ wounded |caus2| 70 killed (US estimate),Abu  Ghraib  Q335021,2005.0,False
120,120,3287804,River Run Riot,military conflict,2382,117791,3,19,2 killed<br>Many injured<br>7 imprisoned |caus2| 1 killed<br>Many injured<br>6 imprisoned,Laughlin  Q594154,2002.0,False
121,121,3362540,Operation Steel Curtain,military conflict,6056,26757,5,44,97+ civilians killed,Husaybah  Q4994771,2005.0,False
122,122,3400830,Hanish Islands conflict,military conflict,16043,43259,4,57,17 Yemeni civilians arrested {{sfn|ICRC staff|1995}},Hanish  Islands  Q1417843,1995.0,False
