id,title,categories,article_lenght,views,refs_count,link_count,death,end_date,location,end_date_clean
32246244,Battle of Vaughan Road,military conflict,17258,5449,3,67,,None,,
4211499,First Battle of the Isonzo,military conflict,8575,67915,0,49,"14,947",+1915-07-07T00:00:00Z,Soča (Q202760),1915
12611583,First Battle of Charleston Harbor,military conflict,28062,33939,38,90,,None,,
29065406,Battle of Saltholm,military conflict,3712,4066,4,29,,9 June 1808,Saltholm (Q841736),1808
48738,1905 Russian Revolution,military conflict,71278,537726,70,265,Unknown,+1907-00-00T00:00:00Z,Russia (Q159),1907
33995032,1978 British Army Gazelle downing,military conflict,9617,21611,18,71,unknown,17 February 1978,Jonesborough (Q6275392),1978
1901727,Battle of Nanchang,military conflict,12097,27459,6,44,"51,328 {{citation needed|date|=|October 2017}}",17 March – 9 May 1939,Nanchang (Q171943),1939
31368452,Battle of Brest (1794),military conflict,6742,5085,7,37,about 1000 men killed,19 September 1794 (8th [[Old Style|O.S.]]),"Near [[Brest, Belarus|Brest]], present-day [[Belarus]]",1794
12232585,1963 South Vietnamese coup d'état,military conflict,97047,6009,152,248,,1–2 November 1963,Ho Chi Minh City (Q1854),1963
42217845,Battle of Santolo,military conflict,2212,2057,3,13,"1000 Infantry, <br/> 25 Cavalry <br/>",1349,"[[Santolo Hill]], [[Kano State]]",1349
4783222,Gorlice–Tarnów Offensive,military conflict,24383,97652,24,111,"'''German Empire''':<br/>2 May–22 June:<br/>'''87,000''' killed, wounded, and missing '''Austria-Hungary''':<br/>unknown",+1915-06-00T00:00:00Z,"[Gorlice (Q947521), Tarnów (Q106281)]",1915
39132045,Battle of Wild Cat Creek,military conflict,9994,26610,13,42,none,22 November 1812,Wildcat Creek (Q8001004),1812
44159505,Karen conflict,military conflict,71937,108342,120,193,,"1949 – present<br>( {{Age in years, months, weeks and days|month1|=|day1|=|year1|=|1949}} )",Kayin State (Q495342),1949
39032331,Battle of In Arab,military conflict,3173,6225,2,24,7-9 killed<br>8 injured,29–30 March 2013<br>(2 days),"between [[Anefif]] and [[Bourem]], [[Mali]]",2013
519516,Western Front (World War II),military conflict,59438,699280,44,406,"'''1940'''
* 2,121,560 {{refn|Ellis provides no figure for Danish casualties, he places Norwegian losses at 2,000 killed or missing with no information provided on those wounded or captured. Dutch casualties are placed at 2,890 killed or missing, 6,900 wounded, with no information provided on those captured. Belgian casualties are placed at 7,500 killed or missing, 15,850 wounded, and 200,000 captured. French casualties amounted to 120,000 killed or missing, 250,000 wounded, and 1,450,000 taken prison. British losses totalled to 11,010 killed or missing, 14,070 wounded (only those who were evacuated have been counted), and 41,340 taken prisoner.|ref| name=""Ellis 255""|Ellis, p.255|</ref>| Losses in 1940, according to Ellis' information, thus amount to 2,121,560.|group|=|nb}} –2,260,000 Losses in 1940, according to Ellis' information, thus amount to 2,121,560. {{refn|360,000 dead or wounded, and 1,900,000 captured|ref| name=""Hooton 2007, p. 90""|{{harvnb|Hooton|2007|p=90}}|</ref>|group|=|nb}} casualties, including 143,400 killed
'''1944–1945'''
* 164,590–195,576 killed/missing
* 537,590 wounded
* 78,680 captured {{refn|'''Ellis's numbers:'''American: 109,820 killed or missing, 356,660 wounded, and 56,630 captured; British: 30,280 killed or missing, 96,670 wounded, 14,700 captured; Canadian: 10,740 killed or missing, 30,910 wounded, 2,250 captured; French: 12,590 killed or missing, 49,510 wounded, 4,730 captured; Pole: 1,160 killed or missing, 3,840 wounded, 370 captured.|ref| name=""Ellis, p. 256""|{{harvnb|Ellis||p=256}}|</ref>|<br> Thus according to Ellis' information, the Western Allies incurred 783,860 casualties.<br>'''US Army/Air Forces breakdown: '''According to a post-war US Army study using war records, the army and army air forces of the United States suffered 586,628 casualties in western Europe, including 116,991 killed in action and 381,350 wounded, of whom 16,264 later died of their wounds.|ref|[http://www.ibiblio.org/hyperwar/USA/ref/Casualties/Casualties-1.html US ARMY BATTLE CASUALTIES AND NON-BATTLE DEATHS IN WORLD WAR 2: Final Report]. Combined Arms Research Library, Department of the Army. 25 June 1953.|</ref>| Total US casualties come to 133,255 killed, 365,086 wounded, 73,759 captured, and 14,528 missing, two thousand of whom were later declared dead.|group|=|nb}} 10,561 tanks destroyed <br> Thus according to Ellis' information, the Western Allies incurred 783,860 casualties.<br>'''US Army/Air Forces breakdown: '''According to a post-war US Army study using war records, the army and army air forces of the United States suffered 586,628 casualties in western Europe, including 116,991 killed in action and 381,350 wounded, of whom 16,264 later died of their wounds. Total US casualties come to 133,255 killed, 365,086 wounded, 73,759 captured, and 14,528 missing, two thousand of whom were later declared dead. {{sfn|Zaloga|2015|p|=|239|loc|=|6,084 U.S. Army tanks destroyed, including 4,399 [[M4 Sherman]] tanks, 178 M4 (105) and 1,507 [[M3 Stuart|M5A1 Stuart]] tanks.}} {{sfn|Zaloga|2015|p|=|276}} {{sfn|Zaloga|2015|p|=|277|loc|=|4,477 British Commonwealth tanks destroyed, including 2,712 [[M4 Sherman]] tanks, 656 [[Churchill tank]]s, 609 [[Cromwell tank]]s, 433 [[M3 Stuart]] tanks, 39 [[Cruiser Mk VIII Challenger]] tanks, 26 [[Comet tank]]s, 2 [[M24 Chaffee]] tanks.}} <br/>909 tank destroyers destroyed {{sfn|Zaloga|2015|p|=|239|loc|=|909 U.S. Army tank destroyers destroyed, including 540 [[M10 tank destroyer]]s, 217 [[M18 Hellcat]] tank destroyers and 152 [[M36 tank destroyer]]s.}} {{sfn|Zaloga|2015|p|=|276}} <br>
'''Total:'''
* ~3,000,000 casualties",+1945-00-00T00:00:00Z,Northern Europe (Q27479),1945
20054903,Battle of Seedaseer,military conflict,4081,5653,1,29,135,6 March 1799,"Seedaseer Hill, near present-day Siddapura, [[Karnataka]]",1799
33182480,Battle of Bani Walid,military conflict,43385,18327,88,52,85–91 killed <br>215–231 wounded,+2011-10-17T00:00:00Z,Bani Walid (Q244230),2011
25172015,Second Battle of Tuxpan,military conflict,1926,4709,0,22,"1 killed,<br/>6 wounded",June 1847,"Tuxpan, Veracruz (Q6154758)",1847
280822,Battle of Ratan and Sävar,military conflict,6727,9718,3,50,"Total: 1 000.<br />Sävar: 850 (396 dead, 450 wounded).<br />Ratan: 150 (26 dead, 2 prisoners)",19–20 August 1809,Sävar (Q2239419),1809
15906976,Battle of Blackstock's Farm,military conflict,9917,22047,17,52,51-167 killed and wounded,"November 20, 1780",Union County (Q502447),1780
31896904,Capture of HMS Savage,military conflict,9764,5597,13,41,,None,,
16069942,Battle of Thouars,military conflict,3006,3571,0,27,200 killed,5 May 1793,Thouars (Q279681),1793
24545123,Battle of Long Jawai,military conflict,5102,7369,0,17,33 killed,28 September 1963,"[[Long Jawai]], [[Borneo]]",1963
47155747,Battle of Strangford Lough,military conflict,10617,41784,17,76,,None,,
28974679,Loire Campaign (1429),military conflict,10041,18942,0,102,"over 2,500",+1429-06-18T00:00:00Z,Loire Valley (Q1050483),1429
9818652,Linfen–Fushan Campaign,military conflict,8728,1934,0,136,"5,000+",+1946-09-24T00:00:00Z,"[[Shanxi]], [[China]]",1946
3333240,Battle of Stadtlohn,military conflict,6267,17830,3,64,"13,000 dead, wounded or captured",6 August 1623,Stadtlohn (Q200567),1623
23019683,Siege of Genoa (1747),military conflict,2916,6104,1,34,,1747,Genoa (Q1449),1747
25684806,Sokehs rebellion,military conflict,11641,5844,11,45,,+1911-02-23T00:00:00Z,Caroline Islands (Q118350),1911
4133806,Battle of Piraeus,military conflict,5587,7591,4,33,Over 180 killed,403 BC,Piraeus (Q58976),403
1956203,Kitos War,military conflict,16278,162445,13,115,"Massive civilian casualties with some areas utterly annihilated, 460,000+ Roman citizens (largely [[Roman Greece|Roman Greeks]]) killed in Cyrene and Cyprus alone and unknown numbers in [[Roman Egypt|Aegyptus]], [[Ancient Libya|Libya]] and the rest of the [[Eastern Mediterranean]]",+0117-00-00T00:00:00Z,Eastern Mediterranean (Q3301962),0117
2422391,Mahdia campaign of 1087,military conflict,3042,7848,0,52,,1087,Mahdia (Q466054),1087
51057266,2016–18 Wau clashes,military conflict,80611,4425,149,152,"7,000 defected <small>(gov. claim)</small>","23 June 2016 – ''present''<br />( {{Age in years, months, weeks and days|month1|=|06|day1|=|23|year1|=|2016}} )",Wau State (Q25101048),2016
56642693,Great Raid of 2014,military conflict,6277,3328,8,41,13 paratroopers killed<br>74 wounded<br>60% of equipment lost,19 July 2014 – 10 August 2014<br>,Luhansk Oblast (Q171965),2014
8711512,Spafford Farm massacre,military conflict,11832,7160,10,64,4 killed,"June 14, 1832","Near present day [[South Wayne, Wisconsin]]",1832
39948122,Siege of Patras (805 or 807),military conflict,11900,5373,24,61,,805 or 807,Patras (Q133123),807
33827446,Battle of Ciudad Juárez (1919),military conflict,18242,36235,14,79,~150 killed or wounded,+1919-06-16T00:00:00Z,Ciudad Juárez (Q26590),1919
41528469,Battle of Shakar Kheda,military conflict,1731,4479,0,20,Unknown,11 October 1724,"[[Shakar Kheda]] in [[Berar Subah|Berar]], [[India]]",1724
50592426,Battle of Alexandrovsky Fort,military conflict,7396,978,6,18,"2 auxiliary cruisers damaged. 5 killed, 7 wounded.",21 May 1919,Tupkaragan District (Q720422),1919
45684561,Bulgar–Serb War (853),military conflict,5371,1726,4,41,Vladimir and 12 boyars captured,853 or 854,Central Balkans,854
2722206,Battle of Wyse Fork,military conflict,7340,22860,2,52,"1,101",+1865-03-10T00:00:00Z,Lenoir County (Q507907),1865
36891033,Air battle over Merklín,military conflict,4194,24417,3,33,none,10 March 1953,Merklín (Q2526444),1953
21826016,Battle of Cape Sarych,military conflict,7813,25476,5,41,,None,,
27169837,Operation Quintana Roo,military conflict,4312,6969,5,25,,"February, 2009 - present",Quintana Roo (Q80245),2009
50302739,1990 Mass Uprising in Bangladesh,military conflict,19293,18257,15,72,,None,,
29938803,Operation Baawar,military conflict,8636,10089,11,29,,None,,
47197182,Paraguayan Civil War (1922),military conflict,8100,13863,3,59,,27 May 1922 – 10 July 1923,Paraguay (Q733),1923
41306986,2013 Little India riot,civil conflict,22415,155104,39,40,,{{Start date|df|=|y|2013|12|08}},Little India (Q2392844),2013
18467680,1967 Buffalo riot,civil conflict,4696,1004,6,25,40+ injured,"June 26 - July 1, 1967","[[Buffalo, New York]]",1967
53723291,2017 Serbian protests,civil conflict,13798,15618,29,70,,3 April 2017 – 31 May 2017,,2017
5214815,Navnirman Andolan,civil conflict,11923,38074,10,64,,+1974-03-16T00:00:00Z,"[[Gujarat]], India",1974
3456700,Ardenne Abbey massacre,civilian attack,13767,89014,17,35,20 Canadians POWs from {{flagicon|Nova Scotia}} [[North Nova Scotia Highlanders]] and the {{flagicon image|British_Flag_of_Quebec.svg}} [[Les Fusiliers de Sherbrooke|27th Armoured Regiment (The Sherbrooke Fusilier Regiment)]],7–17 June 1944,"[[Abbey d'Ardenne]], [[Saint-Germain-la-Blanche-Herbe]], France",1944
42163961,2014 Villa Somalia attack,civilian attack,4012,3767,5,17,>14,21 February 2014,Mogadishu (Q2449),2014
53695378,2017 Sargodha shrine massacre,civilian attack,3299,1269,3,26,20,{{Start date|2017|04|01}},"95 Shomaali, [[Sargodha]], [[Punjab, Pakistan|Punjab]], [[Pakistan]]",2017
40313234,Ghouta chemical attack,civilian attack,139669,714470,242,304,+1429,21 August 2013,Ghouta (Q1522001),2013
53346135,2014 shooting of Sacramento police officers,civilian attack,4513,54723,4,24,2,"October 24, 2014",,2014
57971521,2018 Kulachi suicide bombing,civilian attack,19333,1852,28,100,3 (excluding suicide bomber),22 July 2018,"[[Kulachi]], [[Dera Ismail Khan District]], [[Khyber Pakhtunkhwa|KPK]], [[Pakistan]]",2018
56951472,Crime of Gádor,civilian attack,7633,1744,8,40,,{{start date|1910|06|28}},Gádor (Q940842),1910
22683641,Mardin engagement ceremony massacre,civilian attack,11539,6861,14,51,44,"May 4, 2009",Bilge (Q861755),2009
802340,Anfal genocide,"civilian attack, military conflict",33013,105124,39,187,"50,000–100,000 (according to Human Rights Watch, although Kurdish officials have claimed the figure could be as high as 182,000)",+1989-00-00T00:00:00Z,Iraq (Q796),1989
51516846,5 September 2016 Syria bombings,civilian attack,3122,15160,3,28,48–53 killed (at least one attacker also killed),5 September 2016,Tartus (Q174916),2016
41114651,Chunnakam Police station massacre,civilian attack,2622,2091,0,20,At least 19,8 January 1984,Chunnakam (Q5116450),1984
52167619,Tainei-ji incident,military conflict,13668,14357,0,70,,+1551-09-30T00:00:00Z,"Tainei-ji temple, [[Nagato Province]] (present-day [[Yamaguchi Prefecture]]), Japan",1551
19787529,Mysore (1789–91),military conflict,4632,2687,3,41,,1789–1792,South India (Q542146),1792
12428286,Strategic Air Command in the United Kingdom,military conflict,29463,22293,0,169,,None,,
6976755,Operation Clipper,military conflict,16195,37368,16,68,,+1944-11-22T00:00:00Z,Geilenkirchen (Q205050),1944
49451203,Battle of Yichang (1929),military conflict,853,696,0,15,,"April 11, 1929",western [[Hubei]],1929
7618453,Soviet–Japanese border conflicts,military conflict,18992,222403,13,76,"{{flagdeco|USSR|1936}} 32,000 killed, wounded, or captured<br>350 tanks lost<br>140 armored cars lost<br>211 aircraft lost<br> {{flagicon|Mongolian People's Republic|1930}} ~1,000 killed, wounded, or captured",+1939-00-00T00:00:00Z,Mongolian People's Republic (Q212056),1939
3175338,Battle of Nicaea,military conflict,1884,4587,0,24,,None,Nicaea (Q739037),
2821477,Battle of Osan,military conflict,31443,149601,4,135,"{{plainlist |
* 60 killed|sfn|Millett|2010|p|=|138|
* 21 wounded|sfn|Millett|2010|p|=|138|
* 82 captured|efn|name|=|casualties1|
* 1 howitzer destroyed, 5 disabled}} {{sfn|Millett|2010|p|=|138}} * 21 wounded {{sfn|Millett|2010|p|=|138}} * 82 captured {{efn|name|=|casualties1}} * 1 howitzer destroyed, 5 disabled",5 July 1950,Osan (Q42129),1950
50645641,Battle of Pasca,military conflict,5672,3067,4,54,,None,,
42554010,Battle of Rügen (1565),military conflict,2278,2569,0,23,unknown,21 May 1565,"Baltic Sea, off the island of Rügen (in modern-day Germany); North of Pomerania",1565
38486417,Battle of Jaithak,military conflict,10798,7269,7,23,,None,"Jaithak, India",
3239443,Battle of Tragh-Bhaile,military conflict,1199,3469,1,7,,1399,Ireland (Q22890),1399
45159220,Battle of the Hellespont (321 BC),military conflict,2271,5424,0,15,,321 BC,near the [[Dardanelles]],321
1596196,Ecuadorian–Peruvian War,military conflict,19310,181018,6,83,,+1942-01-31T00:00:00Z,"Ecuadorian-Peruvian border; Ecuadorian Provinces of El Oro, Loja, Sucumbios, and Oriente",1942
16739959,Skirmish at Many Branch Point,military conflict,13736,25228,18,51,none,10 June 1982,West Falkland (Q733338),1982
55919764,Action off Măcin,military conflict,5408,2308,7,31,,None,,
48888345,Naqib al-Ashraf revolt,military conflict,12354,1013,11,68,N/A,May 1703–October 1705,Jerusalem (Q1218),1705
17865473,Battle of San Cala,military conflict,4743,1233,0,37,,9 January 1841,San Carlos Minas (Q967364),1841
35802367,Siege of Bidar,military conflict,3034,7921,1,51,1300,29 March 1657,Bidar (Q461922),1657
1615925,Battle of Wauhatchie,military conflict,12188,48420,15,72,'''420''',+1863-10-29T00:00:00Z,Hamilton County (Q188376),1863
6505034,Battle of Monroe's Crossroads,military conflict,6287,14506,5,43,183,{{Start date|1865|3|10}},Hoke County (Q502507),1865
521713,Battle of Maychew,military conflict,19273,21945,20,115,"400 Italians killed and wounded, 873 Eritreans killed and wounded",31 March 1936,"Near [[Maychew]], [[Tigray Region|Tigray]], [[Ethiopia]]",1936
38677593,Ottoman–Persian War (1775–76),military conflict,7437,21609,9,40,Unknown,+1776-00-00T00:00:00Z,Mesopotamia (Q11767),1776
26715036,1970 in the Vietnam War,military conflict,8684,59982,9,65,"US: 6,081 killed <br />South Vietnam:  23,346 Killed",None,Vietnam (Q881),
39504760,Submarine incident off Kola Peninsula,military conflict,12279,30397,19,38,1 nuclear submarine lightly damaged,20 March 1993,"North of [[Murmansk]], Russia",1993
15621074,Battle of the Malalag River,military conflict,3268,6891,1,36,,None,,
57659936,Battle of Pea River,military conflict,5470,231,2,22,"50 killed, multiple wounded","March 27, 1837","Near [[Louisville, Alabama]]<br>Near [[Troy, Alabama]]",1837
2561014,Battle of Lacolle Mills (1814),military conflict,10533,16190,13,49,11 killed<br>44 wounded<br>4 missing<br>'''Total:''' 59,"March 30, 1814",Battle of Lacolle National Historic Site (Q18571979),1814
16312260,Huntsville massacre,military conflict,8595,6021,0,44,None,"January 10, 1863",Huntsville (Q80186),1863
43905012,Herat Campaign of 1731,military conflict,6184,3566,0,22,,+1732-02-00T00:00:00Z,Khorasan,1732
35531249,Texas Campaign,military conflict,2132,3896,0,18,60 killied<br>149 wounded,+1846-05-09T00:00:00Z,Texas (Q1439),1846
1768655,Battle of Custoza (1848),military conflict,6391,48422,6,45,"'''23–26 July:''' <br>289 KIA ''incl. 19 Officers''<br>1,144 wounded<br>2,380 POW/MIA<br><hr/>(26–27 July at Volta): <br>77 KIA ''incl. 2 Officers''<br>175 wounded<br>202 POW/MIA",23–26 July 1848,Verona (Q2028),1848
34775381,Battle of Leeds,military conflict,6030,10137,4,46,,None,,
1310248,Battle of Thiepval Ridge,military conflict,48010,48252,0,114,"12,500",+1916-09-28T00:00:00Z,"[Thiepval (Q795615), France (Q142)]",1916
58033605,Ndop prison break,military conflict,2508,675,3,11,,"July 28, 2018",Ndop (Q2450615),2018
30418979,Battle of Mileto,military conflict,7518,11985,0,49,,28 May 1807,Mileto (Q54720),1807
14637240,Anti-Fengtian War,military conflict,7530,11021,0,59,,November 1925 – April 1926,Northern China,1926
9751563,Battle of Alavus,military conflict,3348,3689,0,29,200,17 August 1808,Alavus (Q5981),1808
3868059,Operation Grapes of Wrath,military conflict,16559,73974,17,77,3 Israeli soldiers killed,11–27 April 1996,Lebanon (Q822),1996
493688,North African Campaign,military conflict,48529,1273444,71,251,"{{unbulleted list
  | |flagicon|UK| '''British''' |raise|0.3em|longitem|style|=|line-height:1.3em|noflag|'''Commonwealth'''<br/>Estimated 220,000 dead, wounded, missing and<br/>captured,|ref| name=""Zabecki""|Zabecki, North Africa|</ref>| including<br/>35,478 confirmed dead.|ref|Carell, p. 597|</ref>|
  | |raise|0.15em|flagicon|Free French Forces| '''Free French''' |longitem|style|=|line-height:1.3em|16,000 killed, wounded<br/>and missing.|ref|{{cite book |first=Raymond|last=Cartier |title=La Seconde Guerre Mondiale, vol4: 1943-Juin1944 |trans-title=The Second World War, vol4: 1943-June1944|publisher=Press Pocket |page=40}}|</ref>|
|
  | |flagicon|USA|1912| '''United States''' |longitem|style|=|line-height:1.3em|2,715 killed;<br/>8,978 wounded;<br/>6,528 missing.|ref|Playfair, Volume IV, p. 460. United States losses from 12 November 1942|</ref>|ref|Atkinson, p. 536|</ref>|
  | |longitem|style|=|line-height:1.3em|'''Principal material losses'''<br/>1,400 aircraft destroyed;<br/>2,000 tanks destroyed.|}} {{flagicon|UK}} '''British''' {{raise|0.3em|longitem|style|=|line-height:1.3em|noflag|'''Commonwealth'''<br/>Estimated 220,000 dead, wounded, missing and<br/>captured,|ref| name=""Zabecki""|Zabecki, North Africa|</ref>| including<br/>35,478 confirmed dead.|ref|Carell, p. 597|</ref>}} {{longitem|style|=|line-height:1.3em|noflag|'''Commonwealth'''<br/>Estimated 220,000 dead, wounded, missing and<br/>captured,|ref| name=""Zabecki""|Zabecki, North Africa|</ref>| including<br/>35,478 confirmed dead.|ref|Carell, p. 597|</ref>}} {{noflag}} '''Commonwealth'''<br/>Estimated 220,000 dead, wounded, missing and<br/>captured, including<br/>35,478 confirmed dead. {{raise|0.15em|flagicon|Free French Forces| '''Free French''' |longitem|style|=|line-height:1.3em|16,000 killed, wounded<br/>and missing.|ref|{{cite book |first=Raymond|last=Cartier |title=La Seconde Guerre Mondiale, vol4: 1943-Juin1944 |trans-title=The Second World War, vol4: 1943-June1944|publisher=Press Pocket |page=40}}|</ref>|}} {{flagicon|Free French Forces}} '''Free French''' {{longitem|style|=|line-height:1.3em|16,000 killed, wounded<br/>and missing.|ref|{{cite book |first=Raymond|last=Cartier |title=La Seconde Guerre Mondiale, vol4: 1943-Juin1944 |trans-title=The Second World War, vol4: 1943-June1944|publisher=Press Pocket |page=40}}|</ref>}} {{flagicon|USA|1912}} '''United States''' {{longitem|style|=|line-height:1.3em|2,715 killed;<br/>8,978 wounded;<br/>6,528 missing.|ref|Playfair, Volume IV, p. 460. United States losses from 12 November 1942|</ref>|ref|Atkinson, p. 536|</ref>}} {{longitem|style|=|line-height:1.3em|'''Principal material losses'''<br/>1,400 aircraft destroyed;<br/>2,000 tanks destroyed.}}",+1943-05-16T00:00:00Z,"[Italian Libya (Q284568), Kingdom of Egypt (Q124943), French Algeria (Q218272), French protectorate of Tunisia (Q2017684), French protectorate in Morocco (Q907234)]",1943
50113637,Battle of Yanshi,military conflict,13920,9740,0,51,light,5–6 October 618,Yanshi (Q1337479),618
57684797,Second Schmalkaldic War,military conflict,8057,1693,3,80,,None,,
7567849,1993 Summer Offensives,military conflict,3977,12355,3,24,235 killed,1993,Agdam (Q540844),1993
55545335,Operation Benton,military conflict,4237,1806,2,24,45 killed,+1967-08-29T00:00:00Z,Quảng Tín (Q2538777),1967
